x,y
22003,10
22013,14
22027,4
22031,6
22037,2
22039,12
22051,12
22063,4
22067,6
22073,6
22079,12
22091,2
22093,16
22109,2
22111,12
22123,6
22129,4
22133,14
22147,6
22153,4
22157,2
22159,12
22171,18
22189,4
22193,36
22229,18
22247,12
22259,12
22271,2
22273,4
22277,2
22279,4
22283,8
22291,12
22303,4
22307,36
22343,6
22349,18
22367,2
22369,12
22381,10
22391,6
22397,12
22409,24
22433,8
22441,6
22447,6
22453,16
22469,12
22481,2
22483,18
22501,10
22511,20
22531,10
22541,2
22543,6
22549,18
22567,4
22571,2
22573,40
22613,6
22619,2
22621,16
22637,2
22639,4
22643,8
22651,18
22669,10
22679,12
22691,6
22697,2
22699,10
22709,8
22717,4
22721,6
22727,12
22739,2
22741,10
22751,18
22769,8
22777,6
22783,4
22787,20
22807,4
22811,6
22817,36
22853,6
22859,2
22861,10
22871,6
22877,24
22901,6
22907,14
22921,16
22937,6
22943,18
22961,2
22963,10
22973,20
22993,10
23003,8
23011,6
23017,4
23021,6
23027,2
23029,10
23039,2
23041,12
23053,4
23057,2
23059,4
23063,8
23071,10
23081,6
23087,12
23099,18
23117,14
23131,12
23143,16
23159,8
23167,6
23173,16
23189,8
23197,4
23201,2
23203,6
23209,18
23227,24
23251,18
23269,10
23279,12
23291,2
23293,4
23297,14
23311,10
23321,6
23327,6
23333,6
23339,18
23357,12
23369,2
23371,28
23399,18
23417,14
23431,16
23447,12
23459,14
23473,24
23497,12
23509,22
23531,6
23537,2
23539,10
23549,8
23557,4
23561,2
23563,4
23567,14
23581,12
23593,6
23599,4
23603,6
23609,14
23623,4
23627,2
23629,4
23633,30
23663,6
23669,2
23671,6
23677,10
23687,2
23689,30
23719,22
23741,2
23743,4
23747,6
23753,8
23761,6
23767,6
23773,16
23789,12
23801,12
23813,6
23819,8
23827,4
23831,2
23833,24
23857,12
23869,4
23873,6
23879,8
23887,6
23893,6
23899,10
23909,2
23911,6
23917,12
23929,28
23957,14
23971,6
23977,4
23981,12
23993,8
24001,6
24007,12
24019,4
24023,6
24029,14
24043,6
24049,12
24061,10
24071,6
24077,6
24083,8
24091,6
24097,6
24103,4
24107,2
24109,4
24113,8
24121,12
24133,4
24137,14
24151,18
24169,10
24179,2
24181,16
24197,6
24203,20
24223,6
24229,10
24239,8
24247,4
24251,30
24281,36
24317,12
24329,8
24337,22
24359,12
24371,2
24373,6
24379,12
24391,16
24407,6
24413,6
24419,2
24421,18
24439,4
24443,26
24469,4
24473,8
24481,18
24499,10
24509,8
24517,10
24527,6
24533,14
24547,4
24551,20
24571,22
24593,18
24611,12
24623,8
24631,28
24659,12
24671,6
24677,6
24683,8
24691,6
24697,12
24709,24
24733,16
24749,14
24763,4
24767,14
24781,12
24793,6
24799,10
24809,12
24821,20
24841,6
24847,4
24851,8
24859,18
24877,12
24889,18
24907,10
24917,2
24919,4
24923,20
24943,10
24953,14
24967,4
24971,6
24977,2
24979,10
24989,24
25013,18
25031,2
25033,4
25037,20
25057,16
25073,14
25087,10
25097,14
25111,6
25117,4
25121,6
25127,20
25147,6
25153,10
25163,6
25169,2
25171,12
25183,6
25189,30
25219,10
25229,8
25237,6
25243,4
25247,6
25253,8
25261,40
25301,2
25303,4
25307,2
25309,12
25321,18
25339,4
25343,6
25349,8
25357,10
25367,6
25373,18
25391,18
25409,2
25411,12
25423,16
25439,8
25447,6
25453,4
25457,6
25463,6
25469,2
25471,52
25523,14
25537,4
